"locality_and_treatment","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","LiDAR.data.from.year","plot_density_m2","resolution_m","region","Moose2015","Reddeer2015","Roedeer2015","YrsSinceExclosure","field_mean","field_median","trt","mean","n","median","sd","min","max","ninetyfive","first_qu","third_qu","mad","rmad","pf70","df1","dl2","rumple","vci","prod"
"kviteseid2_ub","2KVUB","Kviteseid2","UB",8.549302,59.309171,2005,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,1.21995192307692,0.875,"ub",0.886527358897027,4642,0.1,1.46486646055476,0,8.29,3.84,0.03,1.42,0.14826,1.4826,0.91,0.108573890564412,0.729468599033816,4.49454475979597,0.476103300325927,0.106407375541559
"kviteseid3_b","3KVB","Kviteseid3","B",8.267729,59.372355,2000,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,0.456605162855163,0.25,"b",0.558647581441264,2026,0.05,1.29326106983554,0,9.01,3.635,0,0.23,0.07413,1.4826,0.15,0.0320829220138203,0.714285714285714,2.25690526006116,0.342530848367484,0.0912505780029237
"kviteseid3_ub","3KVUB","Kviteseid3","UB",8.266754,59.3727,2000,2009,2017,5,"0,25","Telemark",34.25057033,13.40190923,2.936689407,8,1.13338068181818,1.125,"ub",1.01313487881981,1898,0.11,1.84322413079566,0,9.97,5.7815,0,1.2575,0.163086,1.4826,1.039,0.0737618545837724,0.684782608695652,3.59905017540611,0.488961241370453,0.0912505780029237
"maarud1_b","M1B","Maarud 1","B",11.592398,60.169248,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,1.22587831994941,1.25,"b",0.451647662485747,1754,0.09,0.688190886379283,-0.13,3.56,1.95,0,0.7575,0.133434,1.4826,0.340999999999999,0,0,2.69067899141224,0.444793816787673,0.502955834178235
"maarud1_ub","M1UB","Maarud 1","UB",11.593097,60.169193,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,1.97661792485471,2,"ub",2.68016814272879,7791,2.9,1.84905766791426,-0.14,13.79,5.54,1.25,3.95,1.838424,0.633939310344827,3.72,0.570145039147735,0.898248540450375,9.91475960176976,0.580681508124915,0.502955834178235
"maarud2_b","M2B","Maarud 2","B",11.753235,60.124845,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,1.61577510191421,1.5,"b",0.700856338028169,1775,0.13,0.913561763050351,-0.2,4.09,2.483,0,1.39,0.192738,1.4826,1.17,0.0608450704225352,0.818181818181818,3.64175839862703,0.551565362616099,0.272350750320769
"maarud2_ub","M2UB","Maarud 2","UB",11.752689,60.124453,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,1.89683904804873,1.75,"ub",0.815662028252161,9486,0.12,1.14031525537954,-0.23,7.85,3.12,0,1.54,0.177912,1.4826,1.28,0.101201771030993,0.805555555555556,4.04656563110506,0.4619497792785,0.272350750320769
"maarud3_b","M3B","Maarud 3","B",11.825264,60.109828,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,0.90625,0.75,"b",0.390466768138001,1971,0.03,0.728930295656272,-0.11,3.35,2.1,0,0.22,0.044478,1.4826,0.14,0.0167427701674277,0,2.50639177317961,0.408844502740227,0.157610692369824
"maarud3_ub","M3UB","Maarud 3","UB",11.825615,60.109342,2004,2007,2019,5,"0,25","Hedmark",49.08527729,0.828135374,16.24462266,12,1.47589563214563,1.5,"ub",2.72332590280874,8972,3.06,2.0056460477878,-0.06,9,5.78,0.17,4.26,2.253552,0.736454901960784,4.017,0.56130182790905,0.918432883750803,10.3001140196287,0.674234092228522,0.157610692369824
"malvik_b","MAB","Malvik","B",10.725884,63.358705,2002,2008,2016,2,"0,25","Trondelag",91.59537109,0.841762109,20.5676583,8,0.67266281512605,0.25,"b",0.266491596638655,476,0,0.805620311465038,0,6.51,1.5375,0,0.14,0,NA,0.08,0,0,1.46147149785019,0.23909831552403,0.160287892381656
"malvik_ub","MAUB","Malvik","UB",10.72509,63.358309,2002,2008,2016,2,"0,25","Trondelag",91.59537109,0.841762109,20.5676583,8,1.21712662337662,0.75,"ub",0.926657196969697,1056,0.43,1.02223308195533,-0.53,3.99,2.8625,0,1.67,0.637518,1.4826,1.47,0.107954545454545,0,3.56657115253194,0.655115679548313,0.160287892381656
"namdalseid_1kub_b","1KB","namdalseid_1kub","B",11.319426,64.264537,2006,2008,2010,2,"0,5","Trondelag",75.88802955,8.758466457,7.375877596,2,0.353741216512956,0.25,"b",0.149771528998243,569,0,0.791566763240378,0,8.76,0.316,0,0,0,NA,0,0,0,1.3884942530815,0.0666436000780157,0.222676728012514
"namdalseid_1kub_ub","1KUB","namdalseid_1kub","UB",11.318889,64.263747,2006,2008,2010,2,"0,5","Trondelag",75.88802955,8.758466457,7.375877596,2,0.454047619047619,0.25,"ub",0.220663265306122,588,0,0.946970099967571,0,7.91,0.483,0,0,0,NA,0,0,0,1.59327896214683,0.0969807443806637,0.222676728012514
"n_cappelen1_b","1CAB","Nome_Cappelen1","B",9.262933,59.141608,2006,2009,2017,2,"0,5","Telemark",36.73246483,7.237559382,26.88021893,8,0.607116627497062,0.75,"b",0.106503067484663,652,0,0.270290357028717,0,1.65,0.728999999999999,0,0.09,0,NA,0.06,0,0,1.19477226206164,0.206952845784407,0.0804412833108973
"n_cappelen1_ub","1CAUB","Nome_Cappelen1","UB",9.263685,59.141688,2006,2009,2017,2,"0,5","Telemark",36.73246483,7.237559382,26.88021893,8,0.675189393939394,0.25,"ub",0.252388059701493,670,0,0.857436457227634,0,7.09,1.7655,0,0.07,0,NA,0.0229999999999995,0,0,1.61658364038502,0.182652356815297,0.0804412833108973
"n_cappelen2_b","2CAB","Nome_Cappelen2","B",9.12481,59.262313,2006,2009,2017,2,"0,5","Telemark",30.18818188,28.25801849,15.04767058,8,0.723721590909091,0.5,"b",0.613909090909091,660,0,1.54900188850759,0,9.04,4.57599999999999,0,0.15,0,NA,0.103,0.0409090909090909,0,2.80894676340599,0.353941664553192,0.166542736794977
"n_cappelen2_ub","2CAUB","Nome_Cappelen2","UB",9.124931,59.2619,2006,2009,2017,2,"0,5","Telemark",30.18818188,28.25801849,15.04767058,8,1.44317234848485,1.375,"ub",0.479181286549708,684,0,0.773091322265947,0,2.92,2.1385,0,0.9475,0,NA,0.24,0.0190058479532164,0,2.22358691497669,0.474590855418638,0.166542736794977
"nes1_b","DDB","Nes 1","B",11.488864,60.081806,2008,2011,2019,5,"0,25","Hedmark",52.57030574,0.363637888,32.77363522,8,1.25817384370016,1,"b",1.13721142162819,1646,0.97,1.09477729492646,0,4.63,2.98,0.03,2.02,1.438122,1.4826,1.845,0.181044957472661,0.788079470198676,4.27912006048633,0.679470045852331,0.384882645546765
"nes1_ub","DDUB","Nes 1","UB",11.489434,60.082406,2008,2011,2019,5,"0,25","Hedmark",52.57030574,0.363637888,32.77363522,8,1.40798687896211,1.375,"ub",1.68117852975496,1714,1.835,1.39414023022623,0,5.67,3.88,0.1125,2.83,1.964445,1.07054223433243,2.65,0.374562427071179,0.787878787878788,5.54957415768913,0.759545302805051,0.384882645546765
"nes2_b","OLB","Nes 2","B",11.62658,60.088723,2008,2011,2019,5,"0,25","Hedmark",52.57030574,0.363637888,32.77363522,8,1.69925595238095,1.75,"b",1.23517918354628,3209,1.45,1.09082176377017,0,4.13,2.85,0.08,2.21,1.734642,1.19630482758621,2.11,0.256466188843877,0.828571428571429,7.20534603238576,0.607826234837576,0.984450427246636
"nes2_ub","OLUB","Nes 2","UB",11.625671,60.088665,2008,2011,2019,5,"0,25","Hedmark",52.57030574,0.363637888,32.77363522,8,1.90876322751323,1.75,"ub",1.44527681113572,3161,1.68,1.13306048845737,-0.05,4.93,3.18,0.1,2.3,1.438122,0.856025,2.18,0.278709269218602,0.762376237623762,7.9053046262005,0.645787299742187,0.984450427246636
"notodden3_b","3NOB","Notodden3","B",9.080254,59.676721,2002,2009,2017,5,"0,25","Telemark",45.75073179,7.549714848,3.55799475,8,1.00251623376623,0.75,"b",0.411644042232278,1989,0.08,0.660141944061126,0,3.2,1.9,0,0.39,0.118608,1.4826,0.23,0,0,2.64950416682197,0.422187442512399,0.14243035474986
"notodden3_ub","3NOUB","Notodden3","UB",9.080717,59.677287,2002,2009,2017,5,"0,25","Telemark",45.75073179,7.549714848,3.55799475,8,1.31222587719298,1,"ub",0.510958417849899,1972,0.1,0.750939708471081,0,3.35,2,0,1.09,0.14826,1.4826,0.35,0,0,3.13269238083074,0.466432779990297,0.14243035474986
"notodden5_b","5NOB","Notodden5","B",8.970883,59.694837,2007,2009,2017,2,"0,5","Telemark",45.75073179,7.549714848,3.55799475,8,0.553246420863214,0.5,"b",0.199735182849937,793,0,0.45467166029149,0,2.85,1.304,0,0.15,0,NA,0.12,0,0,1.52015750166549,0.279195183607051,0.119776917028699
"notodden5_ub","5NOUB","Notodden5","UB",8.970475,59.694495,2007,2009,2017,2,"0,5","Telemark",45.75073179,7.549714848,3.55799475,8,0.391970903618055,0.25,"ub",0.401918158567775,782,0,0.689769508870657,-0.23,3.3,1.9595,0,0.4375,0,NA,0.266999999999999,0,0,2.02990901750762,0.446467205729901,0.119776917028699
"notodden6_b","6NOB","Notodden6","B",9.010986,59.55497,2003,2009,2017,2,"0,5","Telemark",45.75073179,7.549714848,3.55799475,8,1.13169642857143,1,"b",0.281668009669621,1241,0.05,0.575863900265522,0,3.95,1.61,0,0.18,0.07413,1.4826,0.14,0,0,1.80183799989958,0.301144161027208,0.106105682858758
"notodden6_ub","6NOUB","Notodden6","UB",9.011906,59.554755,2003,2009,2017,2,"0,5","Telemark",45.75073179,7.549714848,3.55799475,8,1.36790986790987,1.5,"ub",0.559636228656273,1347,0.07,0.870679621208369,-0.08,4.19,2.437,0,1.17,0.103782,1.4826,0.34,0.0378619153674833,0,2.85939004649097,0.449794938240061,0.106105682858758
"nsb_verdal_b","1NSB","Nsb_Verdal","B",11.577472,63.843674,2006,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,0.906344722639789,0.75,"b",0.0340493827160494,405,0,0.081467952338827,0,0.59,0.22,0,0,0,NA,0,0,0,1.02536632019568,NA,0.11046364755872
"nsb_verdal_ub","1NSUB","Nsb_Verdal","UB",11.57849,63.843925,2006,2008,2015,2,"0,5","Trondelag",28.2697902,2.827400105,6.979690234,7,0.75,0.75,"ub",0.0636324786324786,936,0,0.374409552378041,0,7.54,0.2025,0,0.05,0,NA,0.04,0,0,1.16298156934972,0.0220434822670473,0.11046364755872
"selbu_flub_b","FLB","Selbu_Flub","B",11.038617,63.254449,2004,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,2.11170634920635,2.75,"b",0.926477366255144,1215,0.05,1.22156519196766,-0.08,5.87,3.433,0,1.71,0.07413,1.4826,1.468,0.138271604938272,0.683453237410072,4.1049759514288,0.575366347926348,0.271341571962914
"selbu_flub_ub","FLUB","Selbu_Flub","UB",11.038505,63.2549,2004,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,1.73592261904762,1.5,"ub",0.676663886572143,1199,0,1.0804276558325,-0.19,4.33,3.01,0,1.295,0,NA,0.67,0.0967472894078399,0.8,3.16337231504925,0.531274063070899,0.271341571962914
"selbu_kl_b","KLB","Selbu_kl","B",11.031603,63.192682,2003,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,0.410822325081478,0.25,"b",0.610747126436782,522,0,1.88663213761678,-0.28,8.82,6.1495,0,0,0,NA,0,0.0325670498084291,0.666666666666667,2.4888980395183,0.229130713615132,0.116040590906093
"selbu_kl_ub","KLUB","Selbu_kl","UB",11.031679,63.193102,2003,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,0.372813638733961,0.25,"ub",0.417166064981949,554,0,1.59877272705359,-0.09,9.54,4.8205,0,0,0,NA,0,0.0108303249097473,0,2.15850592426152,0.147630137153074,0.116040590906093
"selbu_sl_b","SLB","Selbu_Sl","B",10.988518,63.136555,2002,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,1.07252747252747,0.75,"b",0.35231,1000,0,0.651455568905707,-0.28,3.4,1.8815,0,0.35,0,NA,0.18,0,0,1.84211501309692,0.4521124768957,0.124288986480107
"selbu_sl_ub","SLUB","Selbu_Sl","UB",10.988881,63.13596,2002,2008,2015,2,"0,5","Trondelag",56.44604547,5.437898015,4.380325628,7,1.70208333333333,1.625,"ub",0.766833414278776,2059,0.15,0.981772844057135,-0.14,3.56,2.63,0,1.63,0.22239,1.4826,1.31,0.122875182127246,0.823204419889503,2.70162241440317,0.625909174913708,0.124288986480107
"singsaas_b","LAB","Singsaas","B",10.943145,62.967839,2005,2008,2015,2,"0,5","Trondelag",36.25939668,6.648445301,2.712137721,7,0.427369090752243,0.25,"b",0.0604931506849315,1460,0,0.287001998798373,-0.11,2.75,0.15,0,0,0,NA,0,0,0,1.14494891462978,0.0848036656785775,0.042265252358123
"singsaas_ub","LAUB","Singsaas","UB",10.942996,62.96731,2005,2008,2015,2,"0,5","Trondelag",36.25939668,6.648445301,2.712137721,7,0.503435559006211,0.25,"ub",0.0822031571722718,1457,0,0.418610689362165,-0.14,6.09,0.26,0,0,0,NA,0,0,0,1.31318695691784,0.0770936096250517,0.042265252358123
"sl_tydal_b","SEB","Sl_Tydal","B",11.422647,63.046955,2005,2008,2015,2,"0,5","Trondelag",16.47588281,0.419443553,0,7,0.529626623376623,0.25,"b",0.104389086595492,843,0,0.285179779067643,0,2.31,0.801999999999998,0,0,0,NA,0,0,0,1.2639879197985,0.202717335723988,0.132712130856701
"sl_tydal_ub","SEUB","Sl_Tydal","UB",11.423383,63.047032,2005,2008,2015,2,"0,5","Trondelag",16.47588281,0.419443553,0,7,0.858620036746658,0.75,"ub",0.49368906455863,759,0,0.873056432195803,0,5.25,2.163,0,0.78,0,NA,0.346,0.0197628458498024,0,1.92035741324553,0.436225033763358,0.132712130856701
"sorem_b","SKB","Soerum","B",11.310369,59.917857,2008,2011,2013,2,"0,5","Hedmark",59.32528016,3.43817827,48.12147002,2,0.394318181818182,0.25,"b",0.0758047945205479,1168,0.02,0.16592511162465,0,2.03,0.28,0,0.0925,0.029652,1.4826,0.07,0,0,1.09496889865506,0.0632974234035318,0.174894126572609
"sorem_ub","SKUB","Soerum","UB",11.310522,59.917101,2008,2011,2013,2,"0,5","Hedmark",59.32528016,3.43817827,48.12147002,2,0.566237745098039,0.75,"ub",0.059906015037594,1064,0,0.120720596693924,0,1.12,0.24,0,0.08,0,NA,0.07,0,0,1.0770216365696,0.0884065173567145,0.174894126572609
"stangesk_aurskog_b","SSAB","Stangeskovene Aurskog","B",11.353306,59.84871,2007,2010,2018,5,"0,25","Hedmark",56.43464358,0,18.91236981,8,1.15588235294118,1,"b",0.0858391492190096,3009,0.04,0.201237945777014,-0.11,2.51,0.24,0,0.1,0.059304,1.4826,0.08,0,0,1.25229087926096,0.0700372479601702,0.114068354617472
"stangesk_aurskog_ub","SSAUB","Stangeskovene Aurskog","UB",11.354806,59.848884,2007,2010,2018,5,"0,25","Hedmark",56.43464358,0,18.91236981,8,0.879761904761905,0.75,"ub",0.196537544696067,1678,0.02,0.456609045675984,-0.1,3.24,1.39,0,0.14,0.029652,1.4826,0.11,0,0,1.60917010304206,0.239753682499952,0.114068354617472
"stangesk_eidskog_b","SSBB","Stangeskovene Eidskog","B",11.884357,59.950178,2007,2010,2016,5,"0,5","Hedmark",62.64905485,0,13.92362896,6,0.407440476190476,0.25,"b",0.0887281621243885,1431,0,0.277659656402857,-0.09,2.99,0.325,0,0.07,0,NA,0.06,0,0,1.13530905165539,0.10744517298405,0.0904621044106202
"stangesk_eidskog_ub","SSBUB","Stangeskovene Eidskog","UB",11.885225,59.949846,2007,2010,2016,5,"0,5","Hedmark",62.64905485,0,13.92362896,6,0.935994152046784,0.5,"ub",0.576115107913669,1390,0.11,0.824945237435787,-0.09,3.76,2.3255,0,1.1075,0.163086,1.4826,0.673,0.0345323741007194,0.763636363636364,2.13805846646239,0.566450001850082,0.0904621044106202
