tree_id;harvest_date;site_name;locationID;treatment;species;hgt_cm;length_cm;dgl_mm;dbh_mm;leaves_dw_g;stems_dw_g
100;2.8.2016;verdal_2vb;14;UB;rowan;405;405;41.95;22;124.2;819.5
101;2.8.2016;verdal_2vb;14;UB;pine;256;256;41.5;15;237.2;406
102;2.8.2016;verdal_2vb;14;UB;rowan;65;66;6;NA;2.7;5.6
103;2.8.2016;verdal_2vb;14;UB;pine;33;33;4;NA;0.5;1
104;9.9.2016;bratsberg;18;none;pine;123;123;34.84;NA;48.9;236
105;9.9.2016;bratsberg;18;none;pine;140;140;48.12;NA;100.3;647.3
106;9.9.2016;bratsberg;18;none;pine;158;158;67.28;6.81;418.3;1333.5
107;9.9.2016;bratsberg;18;none;pine;142;142;73.21;NA;145.9;1875.7
108;9.9.2016;bratsberg;18;none;pine;241;241;91.43;29.16;263.5;2886.2
109;9.9.2016;bratsberg;18;none;pine;191;191;67.03;20.1;285.7;1277
