"","LocalityName","ExperimentID","Region.x","DistrictID","LocalityCode","Treatment","Longitude","Latitude","Clear cut","Year initiated","LiDAR data from year","Point density (/m^2)","Resolution (m)","X14","X1","Region.y","Productivity"
"32","Kviteseid2","{9616FB08-9897-401F-967C-170DBDDBF4A5}","Telemark",829,"2KVUB","UB",8549302,59309171,"2005",2009,2017,5,"0,25",NA,16,"Telemark",0.106407375541559
"33","Kviteseid3","{E82B89F3-5ECE-4C35-830A-D3D79D974057}","Telemark",829,"3KVB","B",8267729,59372355,"2000",2009,2017,5,"0,25",NA,17,"Telemark",0.0912505780029237
"34","Kviteseid3","{9F2668F4-60F3-4EC2-A3F5-C7F7B36F4836}","Telemark",829,"3KVUB","UB",8266754,593727,"2000",2009,2017,5,"0,25",NA,17,"Telemark",0.0912505780029237
"35","Maarud 1","{60431DE4-CE0E-4A8D-A676-6757D614A23C}","Hedmark",419,"M1B","B",11592398,60169248,"2004/5",2007,2019,5,"0,25",NA,18,"Hedmark",0.502955834178235
"36","Maarud 1","{DA910445-5682-4E4F-9C1B-2579A3C8A818}","Hedmark",419,"M1UB","UB",11593097,60169193,"2004/5",2007,2019,5,"0,25",NA,18,"Hedmark",0.502955834178235
"37","Maarud 2","{07906680-9BC3-4636-9A4E-218F993704C2}","Hedmark",419,"M2B","B",11753235,60124845,"2004/5",2007,2019,5,"0,25",NA,19,"Hedmark",0.272350750320769
"38","Maarud 2","{D99732B1-A03B-4D20-94FF-EBE75B72607A}","Hedmark",419,"M2UB","UB",11752689,60124453,"2004/5",2007,2019,5,"0,25",NA,19,"Hedmark",0.272350750320769
"39","Maarud 3","{DC678F2D-6A6B-45D8-B027-4B8BC2277B7F}","Hedmark",419,"M3B","B",11825264,60109828,"2004/5",2007,2019,5,"0,25",NA,20,"Hedmark",0.157610692369824
"40","Maarud 3","{6A46437A-D098-460A-9BB0-8E1CA8D92D25}","Hedmark",419,"M3UB","UB",11825615,60109342,"2004/5",2007,2019,5,"0,25",NA,20,"Hedmark",0.157610692369824
"41","Malvik","{8F9EE1BA-2745-472A-B431-7B04373DEDE1}","Tr<f8>ndelag",1663,"MAB","B",10725884,63358705,"2002",2008,2016,2,"0,25",NA,21,"Trondelag",0.160287892381656
"42","Malvik","{2CAF8C2B-43AF-4852-84CC-15A729BAFBB8}","Tr<f8>ndelag",1663,"MAUB","UB",1072509,63358309,"2002",2008,2016,2,"0,25",NA,21,"Trondelag",0.160287892381656
"43","namdalseid_1kub","{2FF62A21-F59E-4A0E-AE79-926652BB96C0}","Tr<f8>ndelag",1725,"1KB","B",11319426,64264537,"2006",2008,2010,2,"0,5",NA,22,"Trondelag",0.222676728012514
